edad,frecuencia_videojuegos,videojuegos_que_consume,consumo_simultaneo_musica_videojuego,tipo_musica_simultaneo_videojuegos,porcentaje_role,porcentaje_accion,porcentaje_aventura,porcentaje_arcade,porcentaje_deportivo,porcentaje_estrategia,porcentaje_simulacion,porcentaje_mesa,porcentaje_musical,total_usuarios
21,3,"Overwatch, Just Dance ",0,"No aplica",0.0000,3.0000,3.0000,3.0000,0.0000,1.0000,0.0000,1.0000,3.0000,1
21,2,"Sin consumo",0,"No juego videojuegos",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
21,3,"Minecraft, Sims, Left 4 dead ",1,"Pop normalmente ",3.0000,3.0000,3.0000,2.0000,0.0000,2.0000,3.0000,3.0000,2.0000,1
21,0,"Sin consumo",0,k-pop,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
21,1,"Fortnite ",0,"No aplica",1.0000,2.0000,1.0000,1.0000,0.0000,2.0000,0.0000,1.0000,1.0000,1
21,1,"Brawl stars, justo dance, dance central",1,"La del juego, pop, reggaeton, musica en español ",0.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,2.0000,2.0000,1
21,2,"Pac Man, just dance, fortnite",1,"De todo, pero principalmente pop",1.0000,3.0000,2.0000,3.0000,2.0000,2.0000,2.0000,1.0000,1.0000,1
21,1,"Rogue company, fortnite y warzone",1,"Rock y reguetón ",3.0000,3.0000,3.0000,2.0000,1.0000,2.0000,2.0000,2.0000,0.0000,1
21,2,"Minecraft, Sims City y Mortal Combat",1,"Pop y rock",0.0000,3.0000,3.0000,3.0000,1.0000,2.0000,3.0000,2.0000,2.0000,1
21,2,FC25,1,"Reguetón ",1.0000,3.0000,3.0000,1.0000,3.0000,2.0000,1.0000,3.0000,1.0000,1
21,3,"Fortnite, The finals, The last of us ",1,Phonk,2.0000,3.0000,3.0000,3.0000,1.0000,2.0000,2.0000,1.0000,3.0000,1
21,1,"Little nightmares y Zelda ",0,"No aplica",1.0000,2.0000,2.0000,2.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1
21,1,L4D2,1,Rock,0.0000,3.0000,2.0000,2.0000,3.0000,2.0000,2.0000,1.0000,0.0000,1
22,1,"Call Of Duty",1,"De todo",1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1
22,3,"Parchis, Mario Party, Fortnite",1,Pop,0.0000,3.0000,3.0000,1.0000,0.0000,3.0000,2.0000,2.0000,2.0000,1
22,2,"Cuphead ",0,"No aplica",2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,3.0000,1
22,0,COD,0,"No aplica",0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
22,0,"Sin consumo",0,"Pop en inglés y alternativa ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
22,1,"Sin consumo",0,"Rock/Indie ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
22,0,"Sin consumo",0,Ninguna,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
22,0,"Sin consumo",0,"No escucho. ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
22,0,"Sin consumo",0,no,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
22,0,"Sin consumo",0,"No juego",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
22,1,"cuphead, genshin impact y warzone",1,"musica electrónica ",2.0000,3.0000,3.0000,2.0000,0.0000,2.0000,0.0000,3.0000,0.0000,1
22,2,"The Legend of Zelda, Brawl Stars y Mario Bros.",1,"A veces no escucho, pero cuando lo hago solo pongo mi biblioteca en aleatorio",0.0000,3.0000,3.0000,2.0000,0.0000,2.0000,1.0000,1.0000,0.0000,1
22,3,"Pokémon, Zelda, Batman Arkham",1,"Rock / Indie",3.0000,3.0000,3.0000,2.0000,1.0000,2.0000,2.0000,2.0000,2.0000,1
22,1,"Sin consumo",0,"No aplica",1.0000,2.0000,2.0000,2.0000,0.0000,2.0000,3.0000,3.0000,1.0000,1
22,1,"Resident evil ",1,Rock,0.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
22,1,"Sin consumo",0,"No juego videojuegos ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
22,2,"Fortnite, rocket league, clash royale",1,"Rock ",0.0000,3.0000,2.0000,1.0000,0.0000,3.0000,3.0000,3.0000,1.0000,1
22,1,"minecraft, pokemon, terraria",1,"rock, pop",0.0000,1.0000,2.0000,0.0000,1.0000,3.0000,3.0000,0.0000,0.0000,1
22,2,"COD, Fortnite, minecraft ",1,"De todo ",2.0000,2.0000,3.0000,2.0000,3.0000,3.0000,2.0000,2.0000,2.0000,1
22,1,"Sin consumo",0,"pop, electrónica ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
23,1,"Dress to impress ",0,"No aplica",0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000,0.0000,1
23,0,"Sin consumo",0,"La del juego ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
23,2,"Sin consumo",0,"No juego videojuegos ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
23,2,"Sin consumo",0,"No lo hago",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
23,3,"Warzone, FIFA y Fortinte",1,"Rock, pop, corridos, urbana",0.0000,3.0000,0.0000,0.0000,3.0000,2.0000,0.0000,3.0000,0.0000,1
23,3,"Fortnite, Dead by daylight y Overwatch ",0,"No aplica",3.0000,3.0000,3.0000,3.0000,2.0000,3.0000,3.0000,2.0000,2.0000,1
